GRB Name,Trigger Time,RA (deg),DEC (deg),T90 (sec),Normalised Duration,source
GRB201007A,1602039399,297.0,2.6,10,10,astrosat
GRB200928B,1601298880,74.5,-11.6,13,13,astrosat
GRB200924A,1600938921,317.3,-56.4,3,3,astrosat
GRB200922A,1600776407,296.9,-55.2,10.5,10.5,astrosat
GRB200920B,1600631820,160.52,13.43,2,2,astrosat
GRB200916B,1600270891,224.7,-39.1,1.7,1.7,astrosat
GRB200912A,1599919718,--,--,3,3,astrosat
GRB200909A,1599624083,338.9,-16.3,21,21,astrosat
GRB200907B,1599504672,89.0,6.9,1,1,astrosat
GRB200907A,1599488664,141.47,-1.43,0.13,0.13,astrosat
GRB200906B,1599358616,--,--,35,35,astrosat
GRB200903E,1599100473,177.1,-31.5,90.6,90.6,astrosat
GRB200901A,1598932052,61.7,-59.8,13.9,13.9,astrosat
GRB200826A,1598416193,6.82,34.03,1.9,1.9,astrosat
GRB200817B,1597644168,--,--,23,23,astrosat
GRB200812A,1597233277,--,--,8,8,astrosat
GRB200809B,1596987688,15.83,-73.85,5,5,astrosat
GRB200806A,1596727730,52.9,37.0,34,34,astrosat
GRB200805A,1596634273,315.5,-33.3,0.8,0.8,astrosat
GRB200803A,1596425667,313.6,-62.0,21,21,astrosat
GRB200802A,1596368807,329.8,54.8,9,9,astrosat
GRB200801B,1596296147,70.5,-33.1,22,22,astrosat
GRB200801D,1596289238,--,--,6,6,astrosat
GRB200716C,1594940262,196.01,29.65,2,2,astrosat
GRB200716B,1594884869,344.4,-15.9,33,33,astrosat
GRB200716A,1594862798,139.25,-16.71,44,44,astrosat
GRB200714B,1594714526,190.4,-54.0,2,2,astrosat
GRB200703B,1593818202,148.5,6.3,30,30,astrosat
GRB200629A,1593434990,338.4,-65.6,22,22,astrosat
GRB200619B,1592567324,200.4,-45.1,7,7,astrosat
GRB200614C,1592110841,--,--,24,24,astrosat
GRB200614B,1592105807,--,--,38,38,astrosat
GRB200613C,1592080002,--,--,23,23,astrosat
GRB200613B,1592040160,--,--,11,11,astrosat
GRB200607B,1591567592,41.33,-83.33,24,24,astrosat
GRB200604A,1591300805,179.46,-3.87,16,16,astrosat
GRB200530A,1590799451,32.1,69.23,21,21,astrosat
GRB200524A,1590296641,212.8,61.01,33,33,astrosat
GRB200519A,1589887224,255.3,-30.3,8,8,astrosat
GRB200514A,1589422875,170.1,19.6,12,12,astrosat
GRB200510A,1589107277,155.1,-1.9,9,9,astrosat
GRB200510B,1589091077,--,--,0.29,0.29,astrosat
GRB200506C,1588758069,191.66,38.12,539,539,astrosat
GRB200506A,1588724922,271.7,-4.4,30,30,astrosat
GRB200503B,1588526330,250.6,-20,62,62,astrosat
GRB200503A,1588482136,--,--,39,39,astrosat
GRB200502A,1588427194,289.5,38.6,18,18,astrosat
GRB200424A,1587730031,307.5,-39.7,41,41,astrosat
GRB200422A,1587540137,196.3,-20.2,14,14,astrosat
GRB200412B,1586682521,277.48,61.78,9,9,astrosat
GRB200412A,1586674632,137.16,-39.02,12,12,astrosat
GRB200408B,1586313899,--,--,--,--,astrosat
GRB200403A,1585949417,81.3,73.3,22,22,astrosat
GRB200326B,1585257233,--,--,8.1,8.1,astrosat
GRB200325A,1585106312,31.72,-31.82,4.9,4.9,astrosat
GRB200318A,1584570928,123.4,59.1,10.1,10.1,astrosat
GRB200317A,1584405631,65.5,-46.3,4,4,astrosat
GRB200311A,1583939773,209.25,-50.05,36,36,astrosat
GRB200306A,1583453996,101.1,-62.0,34,34,astrosat
GRB200228A,1582873114,333.89,-42.94,3,3,astrosat
GRB200219A,1582097810,344.1,-60.0,0.4,0.4,astrosat
GRB200211A,1581405992,345.2,-7.2,8,8,astrosat
GRB200210A,1581321821,--,--,29.2,29.2,astrosat
GRB200207A,1581038576,244.1,-48.3,16,16,astrosat
GRB200122A,1579657261,209.98,27.56,25,25,astrosat
GRB200120A,1579561496,139.4,-70.7,8,8,astrosat
GRB200119B,1579466953,--,--,,,astrosat
GRB200114A,1578973244,199.4,-0.3,33,33,astrosat
GRB200112A,1578832592,150.1,64.4,12,12,astrosat
GRB200111A,1578755469,107.87,32.55,6,6,astrosat
GRB200101A,1577911167,259,-32.3,10,10,astrosat
GRB191225B,1577295472,145.8,-7.2,13,13,astrosat
GRB191225A,1577258717,95.5,-17.4,6,6,astrosat
GRB191221B,1576960753,154.83,-38.14,10,10,astrosat
GRB191220.59,1576850910,228.85,-56.52,30,30,astrosat
GRB191218A,1576636964,301.08,-40.27,51,51,astrosat
GRB191202A,1575319732,249.54,17.56,28,28,astrosat
GRB191201A,1575212078,--,--,26.8,26.8,astrosat
GRB191129A,1574997748,8.9,5.4,16,16,astrosat
GRB191122A,1574429577,54.30,-32.18,45,45,astrosat
GRB191119A,1574160065,309.35,-9.35,0.15,0.15,astrosat
GRB191118A,1574115122,214.0,-48.4,21,21,astrosat
GRB191117B,1574003859,157.42,7.23,--,--,astrosat
GRB191106A,1573049724,269.35,46.05,3.6,3.6,astrosat
GRB191105B,1572934591,--,--,13,13,astrosat
GRB191102A,1572697111,--,--,5,5,astrosat
GRB191031D,1572557011,283.29,47.64,0.19,0.19,astrosat
GRB191026B,1572084925,--,--,17,17,astrosat
GRB191019B,1571527034,216.3,-40.6,132,132,astrosat
GRB191009A,1570604937,26.8,65.7,12,12,astrosat
GRB190928A,1569676337,36.57,29.46,119,119,astrosat
GRB190919A,1568917203,357.40,-21.80,44,44,astrosat
GRB190916A,1568643015,321.3,-48.9,10.6,10.6,astrosat
GRB190901A,1567372910,220.3,0.9,25,25,astrosat
GRB190828C,1567003467,191.20,-58.80,12,12,astrosat
GRB190828B,1566997200,251.81,27.23,31,31,astrosat
GRB190823A,1566567006,279.28,-43.44,7,7,astrosat
GRB190810A,1565453522,192.05,28.5,--,--,astrosat
GRB190806A,1565107954,121.10,-75.40,--,--,astrosat
GRB190805B,1564980364,211.85,19.76,24.0,24.0,astrosat
GRB190804A,1564881807,108.0,-64.9,2.0,2.0,astrosat
GRB190731A,1564612701,339.72,-76.57,14,14,astrosat
GRB190726B,1564172071,342.68,-55.98,209.0,209.0,astrosat
GRB190720B,1563664119,138.90,-55.60,14,14,astrosat
GRB190716B,1563236880,70.42,16.47,16,16,astrosat
GRB190630C,1561938781,293.880,-32.744,16,16,astrosat
GRB190628B,1561695820,--,--,32,32,astrosat
GRB190620B,1561048220,--,--,4,4,astrosat
GRB190619B,1560953786,291.07,20.16,13,13,astrosat
GRB190615B,1560609743,--,--,28,28,astrosat
GRB190613B,1560422821,305.43,-4.65,4,4,astrosat
GRB190611B,1560293270,84.76,50.83,7.3,7.3,astrosat
GRB190610B,1560189590,327.38,42.42,15,15,astrosat
GRB190609A,1560065646,165.76,-50.79,44,44,astrosat
GRB190605A,1559776948,337.24,4.76,4.5,4.5,astrosat
GRB190604A,1559644958,342.55,46.37,12,12,astrosat
GRB190530A,1559211542,120.53,35.48,12,12,astrosat
GRB190525A,1558745147,338.02,5.45,1,1,astrosat
GRB190519A,1558250698,114.76,-38.81,52,52,astrosat
GRB190510B,1557456734,124.53,-53.07,18,18,astrosat
GRB190501B,1556676709,156.29,-22,8,8,astrosat
GRB190429A,1556560191,200.05,-8.0,--,--,astrosat
GRB190419A,1555667738,106.45,-40.13,22,22,astrosat
GRB190411A,1554975946,285.96,-36.27,37,37,astrosat
GRB190407B,1554663282,181.82,40.61,2,2,astrosat
GRB190331C,1554063121,--,--,0.16,0.16,astrosat
GRB190326B,1553585500,264.2,68.3,49,49,astrosat
GRB190323A,1553375125,193.82,75,28,28,astrosat
GRB190320A,1553044457,117.81,-45.89,,,astrosat
GRB190315A,1552652263,146.56,-11.15,27,27,astrosat
GRB190306C,1551911818,231.07,-0.38,,,astrosat
GRB190224A,1550981152,--,--,13,13,astrosat
GRB190222B,1550840005,147.32,60.94,10,10,astrosat
GRB190215A,1550255483,340.4,+37.5,12,12,astrosat
GRB190206A,1549424969,313.33,-30.51,0.19,0.19,astrosat
GRB190204A,1549259162,351.51,54.88,12,12,astrosat
GRB190203A,1549208649,22.59,55.72,35,35,astrosat
GRB190202A,1549071571,166.5,9.38,15,15,astrosat
GRB190201A,1549045008,--,--,8,8,astrosat
GRB190131A,1548976111,68.82,23.7,54,54,astrosat
GRB190129B,1548764135,117.28,1.26,15,15,astrosat
GRB190126A,1548479680,--,--,9.2,9.2,astrosat
GRB190122B,1548176223,--,--,16,16,astrosat
GRB190117A,1547735808,113.86,6.52,24,24,astrosat
GRB190115A,1547519228,--,--,19,19,astrosat
GRB190103A,1546533717,251.41,17.39,25,25,astrosat
GRB190102B,1546443621,--,--,3,3,astrosat
GRB181222A,1545460894,270.73,-38.85,100,100,astrosat
GRB181201A,1543631880,319.30,-12.62,11,11,astrosat
GRB181123B,1542951183,184.35,14.59,,,astrosat
GRB181122A,1542877748,93.69,34.4,44,44,astrosat
GRB181121A,1542833016,14.3,-11.98,1,1,astrosat
GRB181119A,1542637947,86.4,37.11,15,15,astrosat
GRB181117A,1542470124,352.68,24.57,12,12,astrosat
GRB181116A,1542368233,5.25,-23.72,74,74,astrosat
GRB181111A,1541950942,93.09,12.42,14,14,astrosat
GRB181029A,1540848284,274.28,-25.53,10,10,astrosat
GRB181026A,1540558620,352.42,-47.37,16,16,astrosat
GRB181020A,1540062033,13.98,-47.38,13,13,astrosat
GRB180925A,1537886251,315.20,-64.46,34.7,34.7,astrosat
GRB180914B,1536949382,332.45,24.88,146.8,146.8,astrosat
GRB180914A,1536928307,53.08,-5.62,24,24,astrosat
GRB180906B,1536257547,270.12,-67.67,6,6,astrosat
GRB180828A,1535482654,268.72,-25.80,11,11,astrosat
GRB180826A,1535246425,62.46,-22.45,130,130,astrosat
GRB180822B,1534944641,185.25,-61.49,126,126,astrosat
GRB180816A,1534385258,126.21,-36.71,27,27,astrosat
GRB180813A,1534129252,--,--,16,16,astrosat
GRB180809B,1533846528,299.69,-15.29,44.1,44.1,astrosat
GRB180809C,1533811714,--,--,290,290,astrosat
GRB180806A,1533595139,11.55,24.33,25.8,25.8,astrosat
GRB180804A,1533421237,136.71,-33.24,5,5,astrosat
GRB180728A,1532798940,253.57,-54.031,13.4,13.4,astrosat
GRB180724A,1532460151,285.24,-33.66,30.3,30.3,astrosat
GRB180723A,1532369385,7.84,-66.11,25.3,25.3,astrosat
GRB180722B,1532303358,108.79,-19.85,,,astrosat
GRB180718C,1531889346,11.38,-46.12,10,10,astrosat
GRB180715A,1531678025,235.07,-0.925,0.5,0.5,astrosat
GRB180715B,1531676839,331.19,39.17,1.7,1.7,astrosat
GRB180711A,1531328522,--,--,7,7,astrosat
GRB180704A,1530682602,32.66,69.96,26,26,astrosat
GRB180703B,1530658011,96.92,-29.88,,,astrosat
GRB180703A,1530651700,6.47,-67.18,20.9,20.9,astrosat
GRB180626D,1529993712,--,--,23,23,astrosat
GRB180623A,1529772137,214.52,-60.2,64,64,astrosat
GRB180622B,1529675598,106.54,77.1,27,27,astrosat
GRB180620B,1529509837,357.52,-57.957,22.3,22.3,astrosat
GRB180620A,1529483698,279.89,23.24,14.8,14.8,astrosat
GRB180618A,1529282593,169.94,73.85,2.1,2.1,astrosat
GRB180611A,1528687741,46.47,-48.84,13,13,astrosat
GRB180610C,1528657138,308.64,34.3,18,18,astrosat
GRB180605A,1528196370,47.51,-48.65,26,26,astrosat
GRB180603A,1528042980,--,--,31,31,astrosat
GRB180529A,1527582554,97.95,-54.91,2,2,astrosat
GRB180526A,1527332659,108.58,3.68,23.8,23.8,astrosat
GRB180525A,1527219477,103.29,19.93,0.16,0.16,astrosat
GRB180521B,1526887243,--,--,15,15,astrosat
GRB180515A,1526412748,138.58,73.87,20,20,astrosat
GRB180505A,1525525029,4.51,-59.89,24,24,astrosat
GRB180504B,1525403760,220.23,38.72,42.3,42.3,astrosat
GRB180427A,1524825423,271.01,68.45,22,22,astrosat
GRB180426A,1524748262,251.24,81.39,7,7,astrosat
GRB180426B,1524701203,202.41,58.17,83,83,astrosat
GRB180416B,1523916609,353.54,74.63,56.3,56.3,astrosat
GRB180416C,1523866255,--,--,13,13,astrosat
GRB180416A,1523866167,113.65,-49.12,98,98,astrosat
GRB180416D,1523852727,--,--,96.6,96.6,astrosat
GRB180411C,1523449715,--,--,28.1,28.1,astrosat
GRB180411A,1523449660,356.85,66.77,68,68,astrosat
GRB180404B,1522807904,53.384,-50.195,44,44,astrosat
GRB180403A,1522762375,109.05,-0.22,25.1,25.1,astrosat
GRB180402A,1522662299,251.9,-14.96,--,--,astrosat
GRB180401A,1522613858,126.66,6.97,23,23,astrosat
GRB180401B,1522564944,166.57,-41.42,19.50,19.50,astrosat
GRB180326A,1522034767,291.73,-13.55,,,astrosat
GRB180325A,1521942782,157.43,24.46,14,14,astrosat
GRB180324A,1521866229,76.585,56.725,,,astrosat
GRB180314A,1520988211,99.26,-24.5,37.3,37.3,astrosat
GRB180309A,1520581396,186.07,34.48,25,25,astrosat
GRB180305A,1520241968,49.62,32.11,7,7,astrosat
GRB180305B,1520233384,--,--,32,32,astrosat
GRB180226A,1519637097,--,--,0.78,0.78,astrosat
GRB180221B,1519216201,--,--,--,--,astrosat
