Trigger Time,Type,Sigma,Normalised Duration,Max Count,source
1043360919,,-1.0,,-1.0,integral
1043361557,,-1.0,,-1.0,integral
1043361896,,-1.0,,-1.0,integral
1043361914,,-1.0,,-1.0,integral
1043364260,,-1.0,,-1.0,integral
1043368273,,-1.0,,-1.0,integral
1043371843,,-1.0,,-1.0,integral
1043373901,,-1.0,,-1.0,integral
1043379655,,-1.0,,-1.0,integral
1043381685,,-1.0,,-1.0,integral
1043398328,,-1.0,,-1.0,integral
1043398405,,-1.0,,-1.0,integral
1043401619,,-1.0,,-1.0,integral
1043401943,,-1.0,,-1.0,integral
1043421152,,-1.0,,-1.0,integral
1043445980,,-1.0,,-1.0,integral
1043454791,,-1.0,,-1.0,integral
1043457978,,-1.0,,-1.0,integral
1043463327,,-1.0,,-1.0,integral
1043466839,,-1.0,,-1.0,integral
1043488314,,-1.0,,-1.0,integral
1043522855,,-1.0,,-1.0,integral
1043522966,,-1.0,,-1.0,integral
1043523425,,-1.0,,-1.0,integral
1043523611,,-1.0,,-1.0,integral
1043524315,,-1.0,,-1.0,integral
1043524399,,-1.0,,-1.0,integral
1043524419,,-1.0,,-1.0,integral
1043524533,,-1.0,,-1.0,integral
1043524816,,-1.0,,-1.0,integral
1043524844,,-1.0,,-1.0,integral
1043524971,,-1.0,,-1.0,integral
1043525110,,-1.0,,-1.0,integral
1043525114,,-1.0,,-1.0,integral
1043525420,,-1.0,,-1.0,integral
1043525501,,-1.0,,-1.0,integral
1043525509,,-1.0,,-1.0,integral
1043525817,,-1.0,,-1.0,integral
1043525975,,-1.0,,-1.0,integral
1043526457,,-1.0,,-1.0,integral
1043526545,,-1.0,,-1.0,integral
1043526575,,-1.0,,-1.0,integral
1043564075,,-1.0,,-1.0,integral
1043568233,,-1.0,,-1.0,integral
1043577523,,-1.0,,-1.0,integral
1043578610,,-1.0,,-1.0,integral
1043586394,,-1.0,,-1.0,integral
1043597092,,-1.0,,-1.0,integral
