name,ra,dec,lii,bii,error_radius,time,end_time,Trigger Time,trigger_type,reliability,trigger_timescale,trigger_algorithm,channel_low,channel_high,adc_low,adc_high,detector_mask,geo_long,geo_lat,ra_scx,dec_scx,ra_scz,dec_scz,theta,phi,localization_source
TGF101206347,16.1667,-74.2833,301.7113,-42.8136,31.45,1291619836.960311,1291620131.877239,1291619976.01862,TGF,1.0,16,119,5,7,1353,4095,11,295.133,4.383,241.9414,-11.0633,164.3172,47.6256,150.0,270.0,"Fermi, GBM FSW"
TGF140515334,119.15,-74.2667,286.6538,-21.79,28.6333,1400133508.588077,1400133950.962664,1400133643.742041,TGF,1.0,16,119,5,7,1353,4095,11,284.65,8.2167,8.4088,-28.1002,254.7939,-36.8783,65.0,294.0,"Fermi, GBM FSW"
TGF220219401,67.2833,-74.2167,287.1792,-35.4244,19.25,1645259749.532738,1645260363.946787,1645259887.407669,TGF,1.0,16,116,5,7,1353,4095,11000100000011,150.9333,-6.2167,324.1277,-1.055,55.3742,-49.7498,25.0,96.0,"Fermi, GBM FSW"
TGF171113741,358.85,-74.1833,308.0568,-42.3828,23.0333,1510591476.678877,1510592050.127868,1510591608.248873,TGF,1.0,16,118,5,7,1353,4095,10101,162.75,21.8833,233.0283,-16.3362,134.539,-26.7323,75.0,277.0,"Fermi, GBM FSW"
TGF110625403,127.6167,-74.0667,287.5834,-19.6426,31.4667,1308987460.513629,1308988074.924056,1308987595.395778,TGF,1.0,16,119,5,7,1353,4095,11,110.317,22.417,87.8194,7.3104,197.6219,69.2597,150.0,80.0,"Fermi, GBM FSW"
TGF150625242,86.6667,-73.7833,284.8016,-30.4744,28.1,1435203938.512579,1435204552.922,1435204077.074692,TGF,1.0,16,119,5,7,1353,4095,11,261.5,9.6667,51.6764,-40.4369,284.1122,-35.58,70.0,328.0,"Fermi, GBM FSW"
TGF230111190,221.8167,-73.5833,310.9903,-12.5511,34.7,1673407896.825707,1673408511.239514,1673408033.020703,TGF,1.0,16,119,5,7,1353,4095,11,10.2667,-0.0833,311.5949,-5.1254,216.6812,-43.6806,30.0,280.0,"Fermi, GBM FSW"
TGF240330274,12.8167,-73.1667,302.9491,-43.9615,34.7167,1711776727.354784,1711777341.76497,1711776862.412833,TGF,1.0,16,119,5,7,1353,4095,11,102.0,-1.0167,353.2939,24.4816,56.7509,-44.4622,34.9886,104.983,"Fermi, LAT"
TGF200614021,125.2667,-73.1333,286.3727,-19.7512,15.3167,1592087312.133783,1592087926.546705,1592087444.408342,TGF,1.0,16,116,5,7,1353,4095,1010101001011,281.3167,24.0667,74.444,8.2031,180.1405,61.9491,140.0,86.0,"Fermi, GBM FSW"
TGF191211139,11.55,-72.85,303.4712,-44.2728,29.55,1576030651.126224,1576031265.537295,1576030785.304494,TGF,1.0,16,119,5,7,1353,4095,11,163.1167,-7.8333,236.0974,2.3995,323.1269,-51.0405,29.9964,120.0,"Fermi, GBM"
TGF200226521,26.05,-72.75,297.5503,-43.8227,34.6833,1582716476.989777,1582717091.401251,1582716611.920246,TGF,1.0,16,119,5,7,1353,4095,11,129.3333,-13.2667,359.8829,4.5816,92.8648,32.9899,115.0,78.0,"Fermi, GBM FSW"
