Top,Flux,Region,Start,Trigger Time,Links,
34,M4.29,-,902545920,902546220,902546400,https://www.spaceweatherlive.com/en/archive/1998/08/08/xray.html
35,M4.1,8340,907160880,907163400,907166880,https://www.spaceweatherlive.com/en/archive/1998/09/30/xray.html
36,M4.09,-,905316720,905317080,905317500,https://www.spaceweatherlive.com/en/archive/1998/09/09/xray.html
37,M4.04,8210,894438600,894439500,894440460,https://www.spaceweatherlive.com/en/archive/1998/05/06/xray.html
38,M3.99,8214,894539100,894539760,894540420,https://www.spaceweatherlive.com/en/archive/1998/05/07/xray.html
39,M3.86,8375,910544640,910545120,910545720,https://www.spaceweatherlive.com/en/archive/1998/11/08/xray.html
40,M3.7,-,883846140,883847940,883849380,https://www.spaceweatherlive.com/en/archive/1998/01/03/xray.html
41,M3.67,-,889998060,889998360,889998600,https://www.spaceweatherlive.com/en/archive/1998/03/15/xray.html
42,M3.44,-,910436520,910436760,910436940,https://www.spaceweatherlive.com/en/archive/1998/11/07/xray.html
43,M3.44,8358,908674680,908675100,908675520,https://www.spaceweatherlive.com/en/archive/1998/10/18/xray.html
44,M3.43,8210,894410820,894411960,894326520,https://www.spaceweatherlive.com/en/archive/1998/05/05/xray.html
45,M3.37,8355,907779840,907780320,907780620,https://www.spaceweatherlive.com/en/archive/1998/10/07/xray.html
46,M3.34,-,914389980,914396340,914398980,https://www.spaceweatherlive.com/en/archive/1998/12/23/xray.html
47,M3.29,8319,904754640,904756020,904756680,https://www.spaceweatherlive.com/en/archive/1998/09/02/xray.html
48,M3.29,8307,903529320,903530520,903531060,https://www.spaceweatherlive.com/en/archive/1998/08/19/xray.html
49,M3.23,8185,891035340,891037620,891040620,https://www.spaceweatherlive.com/en/archive/1998/03/27/xray.html
50,M3.2,8307,903864180,903864840,903865620,https://www.spaceweatherlive.com/en/archive/1998/08/23/xray.html
1,X2.63,8731,939891240,939891600,939891780,https://www.spaceweatherlive.com/en/archive/1999/10/14/xray.html
2,X2.04,8771,943704300,943704720,943704960,https://www.spaceweatherlive.com/en/archive/1999/11/27/xray.html
3,X2.03,8647,933628680,933629100,933629880,https://www.spaceweatherlive.com/en/archive/1999/08/02/xray.html
4,X1.61,8681,935862720,935863500,935864280,https://www.spaceweatherlive.com/en/archive/1999/08/28/xray.html
5,X1.41,8674,935190180,935190480,935190600,https://www.spaceweatherlive.com/en/archive/1999/08/20/xray.html
6,X1.15,8763,942566040,942566460,942566640,https://www.spaceweatherlive.com/en/archive/1999/11/14/xray.html
7,X1.1,8537,926272380,926273220,926273700,https://www.spaceweatherlive.com/en/archive/1999/05/09/xray.html
8,X1.06,8766,942832020,942832620,942832920,https://www.spaceweatherlive.com/en/archive/1999/11/17/xray.html
9,M9.44,8471,920219460,920219940,920220180,https://www.spaceweatherlive.com/en/archive/1999/02/28/xray.html
10,M8.97,8485,921620040,921620460,921620760,https://www.spaceweatherlive.com/en/archive/1999/03/16/xray.html
11,M8.64,8778,943623480,943623780,943625280,https://www.spaceweatherlive.com/en/archive/1999/11/26/xray.html
12,M8.61,-,933745500,933746220,933747240,https://www.spaceweatherlive.com/en/archive/1999/08/04/xray.html
13,M8.46,-,935273400,935273640,935273760,https://www.spaceweatherlive.com/en/archive/1999/08/21/xray.html
14,M8.39,-,932372160,932373960,932375400,https://www.spaceweatherlive.com/en/archive/1999/07/19/xray.html
15,M8.26,8771,943578600,943579380,943580280,https://www.spaceweatherlive.com/en/archive/1999/11/26/xray.html
16,M8.06,8766,942594420,942595620,942595980,https://www.spaceweatherlive.com/en/archive/1999/11/14/xray.html
17,M7.94,8674,935758200,935759220,935760120,https://www.spaceweatherlive.com/en/archive/1999/08/27/xray.html
18,M7.71,8806,945888720,945889440,945889680,https://www.spaceweatherlive.com/en/archive/1999/12/22/xray.html
19,M7.54,-,916859160,916862640,916866000,https://www.spaceweatherlive.com/en/archive/1999/01/20/xray.html
20,M7.3,8651,933276660,933276960,933277200,https://www.spaceweatherlive.com/en/archive/1999/07/29/xray.html
21,M6.76,-,923202900,923203500,923203800,https://www.spaceweatherlive.com/en/archive/1999/04/04/xray.html
22,M6.7,8526,926173320,926174400,926175660,https://www.spaceweatherlive.com/en/archive/1999/05/08/xray.html
23,M6.5,8806,946341540,946342080,946342320,https://www.spaceweatherlive.com/en/archive/1999/12/28/xray.html
24,M6.41,-,925709760,925711320,925713120,https://www.spaceweatherlive.com/en/archive/1999/05/03/xray.html
25,M6.2,-,923180160,923181000,923181540,https://www.spaceweatherlive.com/en/archive/1999/04/03/xray.html
26,M5.63,8552,928479120,928479780,928480260,https://www.spaceweatherlive.com/en/archive/1999/06/04/xray.html
27,M5.5,8766,942719760,942720360,942720840,https://www.spaceweatherlive.com/en/archive/1999/11/16/xray.html
28,M5.49,8674,936033780,936036300,936037260,https://www.spaceweatherlive.com/en/archive/1999/08/30/xray.html
29,M5.36,-,940972140,940973100,940973820,https://www.spaceweatherlive.com/en/archive/1999/10/26/xray.html
30,M5.33,8674,935253000,935253240,935253420,https://www.spaceweatherlive.com/en/archive/1999/08/21/xray.html
31,M5.27,8440,916488120,916488420,916488600,https://www.spaceweatherlive.com/en/archive/1999/01/16/xray.html
32,M5.23,8674,935544720,935544960,935545200,https://www.spaceweatherlive.com/en/archive/1999/08/25/xray.html
33,M5.23,-,929638020,929640600,929641140,https://www.spaceweatherlive.com/en/archive/1999/06/17/xray.html
34,M5.06,8771,943752360,943753560,943754400,https://www.spaceweatherlive.com/en/archive/1999/11/28/xray.html
35,M4.93,8765,943207800,943208400,943208700,https://www.spaceweatherlive.com/en/archive/1999/11/21/xray.html
36,M4.84,8636,932802540,932803320,932804700,https://www.spaceweatherlive.com/en/archive/1999/07/24/xray.html
37,M4.79,8485,921745500,921745860,921746100,https://www.spaceweatherlive.com/en/archive/1999/03/18/xray.html
38,M4.71,8485,921664200,921664560,921665100,https://www.spaceweatherlive.com/en/archive/1999/03/17/xray.html
39,M4.67,-,926051280,926052060,926052540,https://www.spaceweatherlive.com/en/archive/1999/05/07/xray.html
40,M4.64,8771,943136220,943137300,943138260,https://www.spaceweatherlive.com/en/archive/1999/11/20/xray.html
41,M4.64,8458,919133340,919134720,919136700,https://www.spaceweatherlive.com/en/archive/1999/02/16/xray.html
42,M4.5,8611,930643980,930644460,930644820,https://www.spaceweatherlive.com/en/archive/1999/06/29/xray.html
43,M4.49,-,932139720,932140200,932140440,https://www.spaceweatherlive.com/en/archive/1999/07/16/xray.html
44,M4.41,-,941825040,941826540,941831040,https://www.spaceweatherlive.com/en/archive/1999/11/05/xray.html
45,M4.39,8674,935770980,935771760,935773620,https://www.spaceweatherlive.com/en/archive/1999/08/27/xray.html
46,M4.39,8636,933080280,933084300,933085200,https://www.spaceweatherlive.com/en/archive/1999/07/27/xray.html
47,M4.39,-,916308420,916309200,916309980,https://www.spaceweatherlive.com/en/archive/1999/01/14/xray.html
48,M4.37,-,935716920,935717820,935718660,https://www.spaceweatherlive.com/en/archive/1999/08/27/xray.html
49,M4.36,8760,942725100,942725400,942725580,https://www.spaceweatherlive.com/en/archive/1999/11/16/xray.html
