trigger_time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type,horizontal_err,depth_err,magnitude_err,magnst,status,locationsource,magsource,source
1717679737,-9.0052,116.8448,10.967,5.0,mb,102.0,23.0,0.937,0.67,us,us7000mqpy,2024-06-22T20:06:37.785Z,"28 km S of Taliwang, Indonesia",earthquake,6.37,3.134,0.065,76.0,reviewed,us,us,earthquake
1717672073,50.1322,147.6405,622.143,5.9,mww,127.0,29.0,4.537,0.77,us,us7000mqp4,2024-06-07T11:11:51.371Z,Sea of Okhotsk,earthquake,9.42,4.214,0.038,66.0,reviewed,us,us,earthquake
1717586174,0.4195,98.5655,65.051,5.1,mww,128.0,111.0,1.323,0.69,us,us7000mqgm,2024-06-15T02:27:55.780Z,"86 km ESE of Teluk Dalam, Indonesia",earthquake,7.63,6.526,0.075,17.0,reviewed,us,us,earthquake
1717583955,-59.669,-29.5886,10.741,5.5,mww,67.0,69.0,6.583,0.67,us,us7000mqgh,2024-06-15T02:20:49.856Z,South Sandwich Islands region,earthquake,11.26,4.784,0.073,18.0,reviewed,us,us,earthquake
1717576944,-13.7175,14.232,10.0,5.1,mb,62.0,41.0,6.33,0.66,us,us7000mqfy,2024-06-07T12:08:31.353Z,"89 km W of Caconda, Angola",earthquake,9.57,1.841,0.051,132.0,reviewed,us,us,earthquake
1717568383,-3.6255,100.7087,26.049,5.0,mb,68.0,111.0,2.357,1.1,us,us7000mqf7,2024-06-05T06:43:21.040Z,"174 km W of Bengkulu, Indonesia",earthquake,8.77,4.378,0.076,55.0,reviewed,us,us,earthquake
1717554027,-3.6766,100.6209,19.0,5.5,mww,122.0,35.0,2.426,0.54,us,us7000mqdw,2024-06-13T20:58:08.070Z,"183 km W of Bengkulu, Indonesia",earthquake,2.12,1.706,0.075,17.0,reviewed,us,us,earthquake
1717553761,-4.1233,143.0423,77.628,5.2,mb,103.0,36.0,2.83,0.79,us,us7000mqdv,2024-06-13T04:48:28.040Z,"26 km ENE of Ambunti, Papua New Guinea",earthquake,8.75,4.407,0.042,187.0,reviewed,us,us,earthquake
1717525979,-37.3107,-94.6304,10.0,5.5,mww,42.0,67.0,16.04,1.05,us,us7000mqbs,2024-06-12T16:38:16.856Z,West Chile Rise,earthquake,14.62,1.802,0.05,39.0,reviewed,us,us,earthquake
1717513159,-22.948,-114.0745,10.0,5.4,mww,222.0,32.0,5.94,0.64,us,us7000mq99,2024-06-06T18:17:11.367Z,Easter Island region,earthquake,10.66,1.719,0.086,13.0,reviewed,us,us,earthquake
1717495203,-17.9303,-178.5139,602.821,5.5,mww,133.0,64.0,2.485,0.71,us,us7000mq7x,2024-06-22T11:41:25.655Z,"230 km E of Levuka, Fiji",earthquake,11.66,4.643,0.069,20.0,reviewed,us,us,earthquake
1717440735,-18.124,-173.0704,10.0,5.1,mww,73.0,52.0,3.128,1.27,us,us7000mq3s,2024-06-15T16:35:04.040Z,"112 km ENE of Neiafu, Tonga",earthquake,9.42,1.844,0.089,12.0,reviewed,us,us,earthquake
1717400508,-30.2738,-177.8612,38.834,5.0,mb,46.0,77.0,1.01,1.17,us,us7000mpy9,2024-06-16T12:50:57.040Z,"Kermadec Islands, New Zealand",earthquake,9.96,5.72,0.072,61.0,reviewed,us,us,earthquake
1717400128,-22.6263,171.7129,35.0,5.1,mb,77.0,76.0,3.942,0.69,us,us7000mpy3,2024-06-26T06:51:42.040Z,southeast of the Loyalty Islands,earthquake,10.76,1.913,0.047,145.0,reviewed,us,us,earthquake
1717396911,29.6352,-42.82,10.0,5.9,mww,172.0,52.0,16.502,0.39,us,us7000mpxd,2024-06-16T15:09:58.019Z,northern Mid-Atlantic Ridge,earthquake,9.61,1.862,0.036,74.0,reviewed,us,us,earthquake
1717364620,-2.9237,138.8345,48.904,5.0,mb,97.0,60.0,1.91,0.53,us,us7000mppx,2024-06-27T02:52:07.040Z,"203 km W of Abepura, Indonesia",earthquake,6.05,5.683,0.063,80.0,reviewed,us,us,earthquake
1717363899,37.4469,137.2713,9.0,5.7,mww,319.0,37.0,1.169,0.54,us,us7000mppu,2024-06-28T07:54:32.719Z,"40 km NE of Anamizu, Japan",earthquake,4.91,1.689,0.044,50.0,reviewed,us,us,earthquake
