GRB Name;Trigger Time;BAT Ra;BAT Dec;BAT T90;BAT Fluence;XRTSpectral Index;Ra;Dec;Normalised Duration;source
131002B;1380704068.0;75.13505:00:32.4;-75.701-75:42:03.6;39.10;6.2+/-0.6;2.19584;75.185;-76.458;39.10;swift
131002A;1380689661.0;253.10316:52:24.7;82.03682:02:09.6;55.59;6.4+/-0.8;2.07363;253.272;82.856;55.59;swift
131001A;1380598644.0;8.30400:33:13;25.55725:33:25.2;4.9;4.9+/-0.6;;8.31;25.813;4.9;swift
130929A;1380440193.0;135.02809:00:06.7;-47.554-47:33:14.4;11.10;6.9+/-0.8;2.19191;135.118;-48.03;11.10;swift
130925A;1380075084.0;41.18602:44:44.6;-26.146-26:08:45.6;;410+/-10;2.69002;41.213;-26.407;;swift
130919A;1379581644.0;207.28113:49:07.4;-10.353-10:21:10.8;97.3;14+/-2;;207.419;-10.457;97.3;swift
130913A;1379024901.0;341.96022:47:50.4;1.29401:17:38.4;;1.3+/-0.4;;342.188;1.307;;swift
130912A;1378967697.0;47.60603:10:25.4;13.99913:59:56.4;0.28;1.7+/-0.2;1.57299;47.638;14.139;0.28;swift
130907A;1378582873.0;215.89814:23:35.5;45.60245:36:07.2;>360;1400+/-10;1.99054;216.042;46.058;>360;swift
130903A;1378162040.0;82.133405:28:32;-0.1252-00:07:30.7;;;2.42199;82.188;-0.126;;swift
130831B;1377949699.0;192.45412:49:49;-29.187-29:11:13.2;37.8;14+/-2;2.06869;192.582;-29.479;37.8;swift
130831A;1377947056.0;358.63523:54:32.4;29.43129:25:51.6;32.5;65+/-0.2;1.79449;358.874;29.725;32.5;swift
130829A;1377747813.0;182.42612:09:42.2;46.52046:31:12;42.56;12+/-1;;182.548;46.985;42.56;swift
130822A;1377179657.0;27.94001:51:45.6;-3.219-03:13:08.4;;;;27.959;-3.251;;swift
130816B;1376621618.0;170.04911:20:11.8;-57.527-57:31:37.2;10.00;2.7+/-0.4;2.05442;170.162;-58.102;10.00;swift
130816A;1376610415.0;197.09313:08:22.3;-58.996-58:59:45.6;29.97;4.3+/-1.0;2.13422;197.224;-59.586;29.97;swift
130812A;1376338972.0;92.38706:09:32.9;-13.285-13:17:06;7.6;5.9+/-0.3;2.00858;92.449;-13.418;7.6;swift
130807A;1375863943.0;269.80117:59:12.2;-27.616-27:36:57.6;;12+/-2;2.30611;269.981;-27.892;;swift
130806A;1375750293.0;35.90702:23:37.7;67.52567:31:30;6.1;1.7+/-0.2;1.59744;35.931;68.2;6.1;swift
130803A;1375516972.0;220.25614:41:01.4;-2.499-02:29:56.4;44;15+/-1;2.41341;220.403;-2.524;44;swift
130727A;1374936319.0;330.79022:03:09.6;-65.540-65:32:24;13.57;38+/-1;1.93714;331.011;-66.195;13.57;swift
130725B;1374766768.0;214.23314:16:55.9;-11.124-11:07:26.4;10.0;3.9+/-0.4;1.94128;214.376;-11.235;10.0;swift
130725A;1374745031.0;230.06015:20:14.4;0.62400:37:26.4;101.8;9.7+/-1.7;2.5;230.213;0.63;101.8;swift
130722A;1374473959.0;260.67017:22:40.8;-2.979-02:58:44.4;;;1.90545;260.844;-3.009;;swift
130719A;1374205669.0;89.03805:56:09.1;-11.591-11:35:27.6;177.7;23+/-2;;89.097;-11.707;177.7;swift
